Entity,Label,Count,Average_Score
silica,MINERAIS,5,"0,6916"
"faulting,",ESTRUTURA_FISICA,5,"0,8378"
lacustrine,PALEOAMBIENTE,5,"0,5511"
deltas,PALEOAMBIENTE,5,"0,6964"
Dolostone,ROCHA,5,"0,9976"
3-BRSA-1032-RJS,POÇO,5,"0,9946"
1-BRSA-1146-RJS,POÇO,5,"0,9899"
fissure,ESTRUTURA_FISICA,5,"0,8955"
"mounds,",ESTRUTURA_FISICA,5,"0,5810"
embasamento,UNIDADE_LITO,5,"0,9903"
folhelhos,ROCHA,5,"0,9999"
cementstones,ROCHA,4,"0,7177"
Micrite,MINERAIS,4,"0,7385"
packstones.,ROCHA,4,"0,9530"
3-BRSA-1305A-RJS,POÇO,4,"0,9610"
3-BRSA-1255-RJS,POÇO,4,"0,9757"
3-BRSA-1350-RJS,POÇO,4,"0,9690"
PelotasBasin,BACIA,4,"0,8505"
3-BRSA-1053-RJS,POÇO,4,"0,9840"
3-BRSA-1064-RJS,POÇO,4,"0,9760"
"8-BUZ-20-RJS,",POÇO,4,"0,9830"
"8-BUZ-26-RJS,",POÇO,4,"0,9776"
Mollusk,FOSSEIS,4,"0,7125"
"mollusks,",FOSSEIS,4,"0,9241"
sandstone,ROCHA,4,"0,6612"
Cambrian,UNIDADE_CRONO,4,"0,9612"
basalts.,ROCHA,4,"0,9254"
Lacustrine,PALEOAMBIENTE,4,"0,5444"
1-BRSA-491-SPS,POÇO,4,"0,9964"
"vugular,",ESTRUTURA_FISICA,4,"0,6550"
"claystones,",ROCHA,4,"0,9508"
claystones.,ROCHA,4,"0,8836"
Dolomite,MINERAIS,4,"0,5114"
Gastropod,FOSSEIS,4,"0,6626"
"BaciadeCampos,",BACIA,4,"0,9997"
"anhydrite,",ROCHA,4,"0,6921"
Linguado,CAMPO,4,"0,8500"
micas,MINERAIS,4,"0,5924"
"lamination,",ESTRUTURA_FISICA,4,"0,6863"
3-BRSA-944A-RJS,POÇO,4,"0,9907"
Pre,UNIDADE_CRONO,4,"0,9071"
"arenites,",ROCHA,4,"0,7377"
muscovite,MINERAIS,4,"0,8008"
SB-E1,POÇO,4,"0,7145"
grain,ROCHA,4,"0,6698"
Carboniferous,UNIDADE_CRONO,4,"0,9478"
Salta,BACIA,4,"0,5616"
3-BRSA-891A-RJS,POÇO,4,"0,9863"
Jiquia,UNIDADE_CRONO,4,"0,7063"
carbonatemounds.,ROCHA,4,"0,6501"
