Readable_Term,Label,Frequency
aragonite,MINERAIS,1
berriasian.,UNIDADE_CRONO,1
wedges,ESTRUTURA_FISICA,1
ritosanto,BACIA,1
eoaptian,UNIDADE_CRONO,1
3-brsa-1023-sps,POÇO,1
rudstone.,ROCHA,1
"smectite,",ROCHA,1
clay,NAO_CONSOLID,1
"floatstone,",ROCHA,1
"wackestone,",ROCHA,1
"dolostone,",MINERAIS,1
magma,ROCHA,1
volcanic,ROCHA,1
"shrubstones,",ROCHA,1
barravelha.,UNIDADE_LITO,1
phanerozoic.,UNIDADE_CRONO,1
"pleistocene,",UNIDADE_CRONO,1
cherts.,ROCHA,1
"galena,",MINERAIS,1
"stones,",ROCHA,1
mound-like,ESTRUTURA_FISICA,1
1-brsa-618-rjs,POÇO,1
3-brsa-1243-rjs,POÇO,1
neobarremian,UNIDADE_CRONO,1
grainstone-dominated,ROCHA,1
"campodetupi,",CAMPO,1
carbonatos.,ROCHA,1
pelitos,ROCHA,1
fm.barravelha,UNIDADE_LITO,1
evaporitos,ROCHA,1
anidrita,ROCHA,1
tuffs,ROCHA,1
fluvio-deltaic,PALEOAMBIENTE,1
mud,ROCHA,1
shrubby,ESTRUTURA_FISICA,1
cyanobacteria,FOSSEIS,1
lamination.,ESTRUTURA_FISICA,1
bm-s-24,POÇO,1
epinephelus.,FOSSEIS,1
3brsa-1342a-rjs,POÇO,1
sapinhoa,CAMPO,1
"8-buz-21d-rjs,",POÇO,1
barremian.,UNIDADE_CRONO,1
eo-oligocene,UNIDADE_CRONO,1
tertiary,UNIDADE_CRONO,1
"camposbasins,",BACIA,1
baciadepelotas.,BACIA,1
"barremiano,",UNIDADE_CRONO,1
packstone.,ROCHA,1
boundstones.,ROCHA,1
wackestones.,ROCHA,1
"conglomerates,",ROCHA,1
"deltas,",PALEOAMBIENTE,1
"laminations,",ESTRUTURA_FISICA,1
"sandstone,",ROCHA,1
halite.,ROCHA,1
mollusc,FOSSEIS,1
"co2,",FLUIDODATERRA,1
"wedges,",ESTRUTURA_FISICA,1
granites,ROCHA,1
gneisses,ROCHA,1
"neoaptian,",UNIDADE_CRONO,1
3-brsa-861-sps,POÇO,1
lapa,CAMPO,1
anhydrite.,ROCHA,1
"faults,",ESTRUTURA_FISICA,1
creta,UNIDADE_CRONO,1
"cherts,",ROCHA,1
gastropods.,FOSSEIS,1
ballik,CAMPO,1
travertines.,ROCHA,1
turonian,UNIDADE_CRONO,1
"micas,",MINERAIS,1
"bioclasts,",FOSSEIS,1
"dolomudstones,",ROCHA,1
2-anp-1-rjs,POÇO,1
9-brsa-1159-rjs,POÇO,1
hauterevian,UNIDADE_CRONO,1
2-anp1-rjs,POÇO,1
3-,POÇO,1
3-brsa-944-rjs.,POÇO,1
shallow,PALEOAMBIENTE,1
archean,UNIDADE_CRONO,1
granitoids,ROCHA,1
prealagoas,UNIDADE_CRONO,1
namibe,BACIA,1
"floatstones,",ROCHA,1
"cementstones,",ROCHA,1
palaeoproterozoic,UNIDADE_CRONO,1
oceans.,PALEOAMBIENTE,1
espritosanto,BACIA,1
"holocene,",UNIDADE_CRONO,1
"chalcedony,",MINERAIS,1
silica.,MINERAIS,1
pyrite.,MINERAIS,1
laminations.,ESTRUTURA_FISICA,1
"silica,",MINERAIS,1
ordovician,UNIDADE_CRONO,1
"pisolites,",ROCHA,1
contact,ESTRUTURA_FISICA,1
stones.,ROCHA,1
"jurassic,",UNIDADE_CRONO,1
"feldspar,",MINERAIS,1
"velha,",UNIDADE_LITO,1
1-brsa-886-rjs,POÇO,1
santonian,UNIDADE_CRONO,1
campanian,UNIDADE_CRONO,1
"travertine,",ROCHA,1
